time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-23 00:00:00+00:00,0,0,0,0
2026-01-24 00:00:00+00:00,0,0,0,0
2026-01-25 00:00:00+00:00,0,0,0,0
2026-01-26 00:00:00+00:00,0,0,0,0
2026-01-27 00:00:00+00:00,0,0,0,0
2026-01-28 00:00:00+00:00,0,0,0,0
2026-01-29 00:00:00+00:00,0,0,0,0
2026-01-30 00:00:00+00:00,0,0,0,0
2026-01-31 00:00:00+00:00,0,0,0,0
2026-02-01 00:00:00+00:00,0,0,0,0
2026-02-02 00:00:00+00:00,0,0,0,0
2026-02-03 00:00:00+00:00,0,0,0,0
2026-02-04 00:00:00+00:00,0,0,0,0
2026-02-05 00:00:00+00:00,0,0,0,0
2026-02-06 00:00:00+00:00,19,12,3,2
2026-02-07 00:00:00+00:00,20,12,3,1
2026-02-08 00:00:00+00:00,15,7,0,0
2026-02-09 00:00:00+00:00,58,24,6,1
2026-02-10 00:00:00+00:00,25,11,0,0
2026-02-11 00:00:00+00:00,30,12,0,0
2026-02-12 00:00:00+00:00,99,25,28,1
2026-02-13 00:00:00+00:00,42,19,2,1
2026-02-14 00:00:00+00:00,23,14,1,1
2026-02-15 00:00:00+00:00,17,9,0,0
2026-02-16 00:00:00+00:00,22,11,0,0
2026-02-17 00:00:00+00:00,17,6,0,0
2026-02-18 00:00:00+00:00,22,11,0,0
2026-02-19 00:00:00+00:00,15,6,0,0
2026-02-20 00:00:00+00:00,21,10,0,0
2026-02-21 00:00:00+00:00,15,8,0,0
2026-02-22 00:00:00+00:00,9,6,0,0
2026-02-23 00:00:00+00:00,18,11,0,0
2026-02-24 00:00:00+00:00,15,7,0,0
2026-02-25 00:00:00+00:00,18,7,0,0
2026-02-26 00:00:00+00:00,9,4,0,0
2026-02-27 00:00:00+00:00,15,8,0,0
2026-02-28 00:00:00+00:00,13,6,0,0
2026-03-01 00:00:00+00:00,8,4,0,0
2026-03-02 00:00:00+00:00,15,7,0,0
2026-03-03 00:00:00+00:00,164,39,7,1
2026-03-04 00:00:00+00:00,20,9,1,1
2026-03-05 00:00:00+00:00,5,3,0,0
2026-03-06 00:00:00+00:00,17,11,0,0
2026-03-07 00:00:00+00:00,7,4,0,0
2026-03-08 00:00:00+00:00,20,9,0,0
2026-03-09 00:00:00+00:00,15,8,0,0
2026-03-10 00:00:00+00:00,8,4,0,0
2026-03-11 00:00:00+00:00,20,10,0,0
2026-03-12 00:00:00+00:00,14,6,0,0
2026-03-13 00:00:00+00:00,22,6,0,0
2026-03-14 00:00:00+00:00,14,7,0,0
2026-03-15 00:00:00+00:00,18,7,0,0
2026-03-16 00:00:00+00:00,18,7,5,2
2026-03-17 00:00:00+00:00,4,4,4,1
2026-03-18 00:00:00+00:00,17,7,0,0
2026-03-19 00:00:00+00:00,16,7,0,0
2026-03-20 00:00:00+00:00,15,8,5,1
2026-03-21 00:00:00+00:00,12,5,0,0
2026-03-22 00:00:00+00:00,9,5,0,0
2026-03-23 00:00:00+00:00,7,4,0,0
2026-03-24 00:00:00+00:00,14,6,0,0
2026-03-25 00:00:00+00:00,11,4,0,0
2026-03-26 00:00:00+00:00,28,11,0,0
2026-03-27 00:00:00+00:00,21,14,0,0
2026-03-28 00:00:00+00:00,11,8,0,0
2026-03-29 00:00:00+00:00,20,9,0,0
2026-03-30 00:00:00+00:00,14,6,0,0
2026-03-31 00:00:00+00:00,7,4,0,0
2026-04-01 00:00:00+00:00,15,8,0,0
2026-04-02 00:00:00+00:00,18,9,0,0
2026-04-03 00:00:00+00:00,12,8,2,1
2026-04-04 00:00:00+00:00,2,2,0,0
2026-04-05 00:00:00+00:00,10,6,0,0
2026-04-06 00:00:00+00:00,3,3,0,0
2026-04-07 00:00:00+00:00,2,2,0,0
2026-04-08 00:00:00+00:00,3,3,0,0
2026-04-09 00:00:00+00:00,17,9,0,0
2026-04-10 00:00:00+00:00,10,6,0,0
2026-04-11 00:00:00+00:00,38,14,0,0
2026-04-12 00:00:00+00:00,18,11,0,0
2026-04-13 00:00:00+00:00,16,8,0,0
2026-04-14 00:00:00+00:00,19,7,0,0
2026-04-15 00:00:00+00:00,12,7,0,0
2026-04-16 00:00:00+00:00,21,7,0,0
2026-04-17 00:00:00+00:00,26,9,0,0
2026-04-18 00:00:00+00:00,31,10,0,0
2026-04-19 00:00:00+00:00,10,6,0,0
2026-04-20 00:00:00+00:00,20,7,0,0
